annee;etablissement;academie;domaine;discipline;situation;remarque;nombre_de_reponses;taux_de_reponse;poids_de_la_discipline;taux_dinsertion;taux_d_emploi;taux_d_emploi_salarie_en_france;emplois_cadre_ou_professions_intermediaires;emplois_stables;emplois_a_temps_plein;salaire_net_median_des_emplois_a_temps_plein;salaire_brut_annuel_estime;de_diplomes_boursiers;taux_de_chomage_regional;salaire_net_mensuel_median_regional;emplois_cadre;emplois_exterieurs_a_la_region_de_luniversite;femmes;salaire_net_mensuel_regional_1er_quartile;salaire_net_mensuel_regional_3eme_quartile
2013;Paris René Descartes;Paris;Sciences humaines et sociales;Psychologie;18 mois après le diplôme;;100.0;67.0;25.0;90.0;;;91.0;48.0;61.0;1700.0;26500.0;20.0;8.8;2070.0;82.0;17.0;95.0;1630.0;2580.0
2013;Rouen;Normandie;Sciences, technologies et santé;Ensemble sciences, technologies et santé;18 mois après le diplôme;;113.0;72.0;36.0;83.0;;;90.0;64.0;98.0;1770.0;27600.0;31.0;10.2;1840.0;67.0;55.0;44.0;1500.0;2190.0
2013;Versailles Saint-Quentin-en-Yvelines;Versailles;Sciences humaines et sociales;Ensemble sciences humaines et sociales;30 mois après le diplôme;;47.0;66.0;8.0;79.0;;;75.0;35.0;100.0;1620.0;25200.0;7.0;8.8;2070.0;48.0;18.0;68.0;1630.0;2580.0
2013;Toulon;Nice;Droit, économie et gestion;Gestion;18 mois après le diplôme;;35.0;85.0;18.0;86.0;;;94.0;77.0;100.0;2030.0;31700.0;36.0;11.4;1840.0;64.0;36.0;45.0;1430.0;2210.0
2013;Poitiers;Poitiers;Sciences humaines et sociales;Ensemble sciences humaines et sociales;30 mois après le diplôme;;94.0;75.0;17.0;86.0;;;90.0;63.0;67.0;1520.0;23600.0;41.0;9.6;1730.0;67.0;48.0;73.0;1390.0;2040.0
2013;Toulouse 3 - Paul Sabatier;Toulouse;Droit, économie et gestion;Gestion;18 mois après le diplôme;;35.0;76.0;6.0;83.0;;;93.0;53.0;100.0;2030.0;31700.0;40.0;11.9;1820.0;66.0;39.0;71.0;1460.0;2150.0
2013;Toulouse 3 - Paul Sabatier;Toulouse;Sciences humaines et sociales;Ensemble sciences humaines et sociales;30 mois après le diplôme;;47.0;78.0;8.0;96.0;;;89.0;87.0;93.0;2100.0;32800.0;40.0;11.9;1820.0;75.0;28.0;42.0;1460.0;2150.0
2013;Toulouse 3 - Paul Sabatier;Toulouse;Sciences, technologies et santé;Ensemble sciences, technologies et santé;30 mois après le diplôme;;524.0;82.0;86.0;90.0;;;95.0;76.0;96.0;1910.0;29700.0;40.0;11.9;1820.0;76.0;42.0;36.0;1460.0;2150.0
2013;Toulouse 3 - Paul Sabatier;Toulouse;Sciences, technologies et santé;Autres sciences, technologies et santé;30 mois après le diplôme;;35.0;77.0;6.0;91.0;;;81.0;66.0;81.0;1855.0;29100.0;40.0;11.9;1820.0;28.0;40.0;51.0;1460.0;2150.0
2013;Bordeaux;Bordeaux;Sciences humaines et sociales;Ensemble sciences humaines et sociales;18 mois après le diplôme;;97.0;79.0;11.0;83.0;;;82.0;38.0;84.0;1690.0;26400.0;28.0;9.6;1760.0;62.0;41.0;85.0;1400.0;2100.0
2013;Rennes 2;Rennes;Droit, économie et gestion;Autres formations juridiques, économiques et de gestion;30 mois après le diplôme;;35.0;88.0;8.0;71.0;;;88.0;66.0;97.0;2000.0;31200.0;47.0;8.8;1730.0;60.0;42.0;64.0;1390.0;2050.0
2013;Angers;Nantes;Sciences, technologies et santé;Ensemble sciences, technologies et santé;30 mois après le diplôme;;164.0;81.0;27.0;91.0;;;95.0;74.0;96.0;1870.0;29100.0;33.0;8.8;1760.0;69.0;57.0;56.0;1430.0;2070.0
2013;Reims - Champagne Ardenne;Reims;Sciences, technologies et santé;Sciences de l'ingénieur;18 mois après le diplôme;;30.0;80.0;9.0;78.0;;;98.0;87.0;100.0;2100.0;32800.0;38.0;10.1;1820.0;83.0;47.0;3.0;1490.0;2150.0
2012;Paris Nanterre;Versailles;Sciences humaines et sociales;Psychologie;18 mois après le diplôme;;66.0;72.0;12.0;89.0;;;95.0;58.0;68.0;1700.0;26700.0;23.0;9.0;2020.0;62.0;19.0;87.0;1580.0;2530.0
2012;Paris-Est Créteil;Créteil;Droit, économie et gestion;Droit;18 mois après le diplôme;;51.0;76.0;9.0;92.0;;;78.0;63.0;98.0;1950.0;30500.0;22.0;9.0;2020.0;60.0;12.0;78.0;1580.0;2530.0
2012;Corse Pasquale Paoli;Corse;Sciences, technologies et santé;Ensemble sciences, technologies et santé;18 mois après le diplôme;;51.0;71.0;51.0;82.0;;;81.0;48.0;98.0;1730.0;27000.0;33.0;11.0;1740.0;54.0;55.0;35.0;1340.0;2070.0
2013;Paris 11 - Paris Sud;Versailles;Droit, économie et gestion;Ensemble formations juridiques, économiques et de gestion;18 mois après le diplôme;;87.0;66.0;26.0;84.0;;;88.0;65.0;95.0;2000.0;31200.0;23.0;8.8;2070.0;66.0;18.0;74.0;1630.0;2580.0
2013;Évry-Val d'Essonne;Versailles;Sciences, technologies et santé;Informatique;30 mois après le diplôme;;34.0;73.0;11.0;97.0;;;100.0;91.0;100.0;2470.0;38500.0;18.0;8.8;2070.0;90.0;3.0;9.0;1630.0;2580.0
2013;Paris Nanterre;Versailles;Droit, économie et gestion;Droit;18 mois après le diplôme;;41.0;43.0;11.0;88.0;;;88.0;71.0;97.0;1920.0;29900.0;19.0;8.8;2070.0;57.0;8.0;78.0;1630.0;2580.0
2014;Dijon - Bourgogne;Dijon;Sciences humaines et sociales;Ensemble sciences humaines et sociales;18 mois après le diplôme;;89.0;58.0;21.0;79.0;;;64.0;39.0;67.0;1450.0;22600.0;28.0;8.4;1780.0;37.0;40.0;75.0;1420.0;2090.0
2014;Brest - Bretagne occidentale;Rennes;Droit, économie et gestion;Gestion;30 mois après le diplôme;;86.0;78.0;20.0;94.0;;;71.0;67.0;96.0;1730.0;27000.0;38.0;8.1;1750.0;43.0;35.0;66.0;1420.0;2080.0
2014;Grenoble Alpes;Grenoble;Sciences, technologies et santé;Autres sciences, technologies et santé;18 mois après le diplôme;;63.0;81.0;6.0;90.0;;;86.0;59.0;86.0;1600.0;25000.0;35.0;8.2;1830.0;46.0;39.0;60.0;1470.0;2180.0
2014;Évry-Val d'Essonne;Versailles;Droit, économie et gestion;Autres formations juridiques, économiques et de gestion;30 mois après le diplôme;;51.0;65.0;16.0;78.0;;;65.0;58.0;100.0;1800.0;28100.0;23.0;8.3;2050.0;32.0;17.0;72.0;1610.0;2560.0
2014;Université Sorbonne Paris Nord;Créteil;Sciences humaines et sociales;Information communication;18 mois après le diplôme;;68.0;58.0;22.0;97.0;;;66.0;47.0;91.0;1710.0;26700.0;30.0;8.3;2050.0;41.0;16.0;82.0;1610.0;2560.0
2014;Cergy-Pontoise;Versailles;Sciences humaines et sociales;Histoire-géographie;18 mois après le diplôme;;30.0;49.0;11.0;80.0;;;77.0;48.0;88.5;1690.0;26350.0;20.0;8.3;2050.0;46.0;41.0;46.0;1610.0;2560.0
2015;Lyon 2 - Lumière;Lyon;Droit, économie et gestion;Ensemble formations juridiques, économiques et de gestion;18 mois après le diplôme;;211.0;69.0;35.0;93.0;;;78.0;61.0;93.0;1800.0;28100.0;33.0;7.6;1825.0;47.0;43.0;56.0;1460.0;2180.0
2015;Lyon 2 - Lumière;Lyon;Sciences, technologies et santé;Ensemble sciences, technologies et santé;30 mois après le diplôme;;50.0;71.0;8.0;100.0;;;100.0;90.0;100.0;1920.0;29900.0;33.0;7.6;1825.0;76.0;32.0;42.0;1460.0;2180.0
2015;Toulon;Nice;Sciences humaines et sociales;Information communication;30 mois après le diplôme;;62.0;90.0;28.0;90.0;;;80.0;86.0;95.0;1730.0;27000.0;34.0;10.3;1830.0;44.0;96.0;53.0;1410.0;2200.0
2014;Aix-Marseille;Aix-Marseille;Sciences, technologies et santé;Autres sciences, technologies et santé;30 mois après le diplôme;;107.0;79.0;7.0;85.0;;;88.0;66.0;93.0;1800.0;28100.0;33.0;11.0;1830.0;56.0;47.0;61.0;1420.0;2210.0
2014;Montpellier 3 - Paul-Valéry;Montpellier;Sciences humaines et sociales;Ensemble sciences humaines et sociales;30 mois après le diplôme;;195.0;76.0;57.0;84.0;;;72.0;52.0;80.0;1620.0;25300.0;52.0;11.2;1780.0;45.0;54.0;68.0;1400.0;2110.0
2014;Montpellier;Montpellier;Sciences, technologies et santé;Informatique;30 mois après le diplôme;;40.0;75.0;4.0;93.0;;;97.0;76.0;100.0;2080.0;32400.0;32.0;11.2;1780.0;81.0;37.0;25.0;1400.0;2110.0
2016;Besançon - Franche-Comté;Besançon;Sciences, technologies et santé;Autres sciences, technologies et santé;30 mois après le diplôme;;46.0;80.0;13.0;85.0;;;82.0;72.0;92.0;1670.0;26100.0;37.0;7.5;1780.0;41.0;44.0;31.0;1430.0;2060.0
2016;Toulouse 3 - Paul Sabatier;Toulouse;Masters enseignement;Masters enseignement;18 mois après le diplôme;;48.0;79.0;100.0;100.0;;;96.0;98.0;92.0;1900.0;29600.0;23.0;10.3;1770.0;81.0;75.0;31.0;1380.0;2060.0
2016;Toulouse 3 - Paul Sabatier;Toulouse;Sciences, technologies et santé;Autres sciences, technologies et santé;30 mois après le diplôme;;40.0;83.0;7.0;93.0;;;76.0;68.0;78.0;1855.0;29100.0;38.0;10.3;1770.0;16.0;44.0;25.0;1380.0;2060.0
2016;Bordeaux;Bordeaux;Sciences, technologies et santé;Ensemble sciences, technologies et santé;18 mois après le diplôme;;470.0;83.0;48.0;91.0;;;95.0;69.0;97.0;1900.0;29600.0;33.0;8.1;1725.0;83.0;59.0;38.0;1380.0;2025.0
2016;Bordeaux;Bordeaux;Sciences, technologies et santé;Ensemble sciences, technologies et santé;30 mois après le diplôme;;470.0;83.0;48.0;92.0;;;96.0;82.0;99.0;2100.0;32800.0;33.0;8.1;1725.0;85.0;59.0;38.0;1380.0;2025.0
2016;Montpellier 3 - Paul-Valéry;Montpellier;Sciences humaines et sociales;Psychologie;18 mois après le diplôme;;45.0;72.0;13.0;89.0;;;93.0;46.0;66.0;1700.0;26700.0;50.0;10.3;1770.0;82.0;55.0;82.0;1380.0;2060.0
2016;Rennes 2;Rennes;Sciences humaines et sociales;Autres sciences humaines et sociales;18 mois après le diplôme;;71.0;83.0;16.0;86.0;;;84.0;30.0;92.0;1620.0;25200.0;41.0;7.2;1750.0;57.0;57.0;56.0;1405.0;2040.0
2013;Littoral - Côte d'Opale;Lille;Droit, économie et gestion;Ensemble formations juridiques, économiques et de gestion;18 mois après le diplôme;;205.0;58.0;68.0;88.0;;;74.0;65.0;96.0;1850.0;28900.0;20.0;12.4;1820.0;35.0;45.0;53.0;1480.0;2120.0
2013;Pau - Pays de l'Adour;Bordeaux;Droit, économie et gestion;Ensemble formations juridiques, économiques et de gestion;18 mois après le diplôme;;141.0;87.0;49.0;80.0;;;63.0;60.0;98.0;1980.0;30900.0;33.0;9.6;1760.0;37.0;54.0;67.0;1400.0;2100.0
2015;Lorraine;Nancy-Metz;Sciences, technologies et santé;Informatique;30 mois après le diplôme;;45.0;82.0;4.0;98.0;;;93.0;89.0;100.0;2550.0;39700.0;35.0;8.6;1800.0;84.0;72.0;17.0;1430.0;2120.0
2015;La Réunion;La Réunion;Droit, économie et gestion;Ensemble formations juridiques, économiques et de gestion;18 mois après le diplôme;;54.0;63.0;56.0;91.0;;;39.0;53.0;97.0;1600.0;25000.0;53.0;8.6;1830.0;11.0;100.0;73.0;1450.0;2180.0
2016;Nice - Sophia-Antipolis;Nice;Droit, économie et gestion;Ensemble formations juridiques, économiques et de gestion;18 mois après le diplôme;;312.0;72.0;55.0;87.0;;;77.0;68.0;98.0;1880.0;29400.0;28.0;10.2;1800.0;48.0;50.0;58.0;1410.0;2140.0
2016;Savoie Mont Blanc;Grenoble;Sciences humaines et sociales;Ensemble sciences humaines et sociales;18 mois après le diplôme;;48.0;98.0;11.0;92.0;;;83.0;43.0;62.0;1690.0;26400.0;27.0;7.5;1800.0;71.0;31.0;81.0;1450.0;2120.0
2016;Amiens - Picardie Jules-Verne;Amiens;Sciences, technologies et santé;Informatique;18 mois après le diplôme;;33.0;62.0;11.0;94.0;;;99.0;94.0;100.0;2180.0;33900.0;29.0;10.9;1810.0;95.0;54.0;11.0;1470.0;2100.0
2016;Paris 11 - Paris Sud;Versailles;Sciences, technologies et santé;Ensemble sciences, technologies et santé;18 mois après le diplôme;;61.0;51.0;86.0;93.0;;;78.0;88.0;98.0;1900.0;29600.0;8.0;7.6;1980.0;41.0;53.0;62.0;1550.0;2420.0
2016;Évry-Val d'Essonne;Versailles;Droit, économie et gestion;Autres formations juridiques, économiques et de gestion;30 mois après le diplôme;;39.0;78.0;27.0;89.0;;;94.0;66.0;100.0;1900.0;29600.0;11.0;7.6;1980.0;43.0;8.0;74.0;1550.0;2420.0
2016;Université Sorbonne Paris Nord;Créteil;Sciences humaines et sociales;Ensemble sciences humaines et sociales;18 mois après le diplôme;Université dont les résultats sont plus fragiles (taux de réponse inférieur à 50%);80.0;37.0;44.0;90.0;;;90.0;48.0;85.0;1700.0;26500.0;33.0;7.6;1980.0;62.0;22.0;73.0;1550.0;2420.0
2016;Paris 8 - Vincennes Saint-Denis;Créteil;Sciences humaines et sociales;Information communication;18 mois après le diplôme;;61.0;65.0;22.0;83.0;;;86.0;66.0;94.0;1700.0;26500.0;28.0;7.6;1980.0;56.0;18.0;71.0;1550.0;2420.0
2016;Paris-Est Créteil;Créteil;Droit, économie et gestion;Gestion;30 mois après le diplôme;;158.0;61.0;26.0;97.0;;;97.0;95.0;99.0;2520.0;39300.0;29.0;7.6;1980.0;85.0;10.0;57.0;1550.0;2420.0
2011;Lyon 3 - Jean Moulin;Lyon;Droit, économie et gestion;Gestion;30 mois après le diplôme;;409.0;72.0;55.0;92.0;;;99.0;86.0;99.0;2220.0;34600.0;23.0;8.5;1730.0;84.0;46.0;56.0;1460.0;2180.0
2011;Paris Nanterre;Versailles;Droit, économie et gestion;Autres formations juridiques, économiques et de gestion;30 mois après le diplôme;Université dont les résultats sont plus fragiles (taux de réponse inférieur à 50%);101.0;40.0;29.0;91.0;;;84.0;82.0;93.0;2250.0;35100.0;19.0;8.6;1990.0;71.0;11.0;51.0;1470.0;2200.0
2015;Mulhouse - Haute Alsace;Strasbourg;Sciences, technologies et santé;Ensemble sciences, technologies et santé;18 mois après le diplôme;;80.0;70.0;39.0;89.0;;;91.0;74.0;98.0;1820.0;28400.0;23.0;8.6;1800.0;67.0;63.0;42.0;1430.0;2120.0
2015;Lyon 3 - Jean Moulin;Lyon;Droit, économie et gestion;Autres formations juridiques, économiques et de gestion;18 mois après le diplôme;;64.0;71.0;8.0;71.0;;;72.0;44.0;95.0;1520.0;23700.0;25.0;7.6;1825.0;48.0;70.0;65.0;1460.0;2180.0
2015;Paris René Descartes;Paris;Sciences humaines et sociales;Ensemble sciences humaines et sociales;30 mois après le diplôme;;154.0;59.0;48.0;94.0;;;92.0;67.0;80.0;1850.0;28900.0;21.0;7.8;2060.0;76.0;25.0;90.0;1600.0;2570.0
2015;Rouen;Normandie;Lettres, langues, arts;Lettres, langues, arts;30 mois après le diplôme;;47.0;67.0;14.0;88.0;;;44.0;62.0;95.0;1480.0;23100.0;38.0;8.9;1810.0;28.0;50.0;80.0;1470.0;2160.0
2015;Paris-Est Marne-la-Vallée;Créteil;Sciences, technologies et santé;Informatique;30 mois après le diplôme;;30.0;68.0;6.0;93.0;;;99.0;94.0;100.0;2180.0;33900.0;16.0;7.8;2060.0;95.0;28.0;13.0;1600.0;2570.0
2017;Grenoble Alpes;Grenoble;Droit, économie et gestion;Ensemble formations juridiques, économiques et de gestion;30 mois après le diplôme;;385.0;66.0;41.0;94.0;;;96.0;82.0;99.0;2180.0;34100.0;33.0;7.0;1860.0;72.0;43.0;53.0;1450.0;2220.0
2017;Grenoble Alpes;Grenoble;Droit, économie et gestion;Droit;18 mois après le diplôme;;63.0;64.0;7.0;91.0;;;91.0;59.0;98.0;1800.0;28100.0;33.0;7.0;1860.0;63.0;52.0;72.0;1450.0;2220.0
2017;Paris 2 - Panthéon Assas;Paris;Droit, économie et gestion;Ensemble formations juridiques, économiques et de gestion;18 mois après le diplôme;;186.0;52.0;86.0;94.0;;;93.0;78.0;98.0;2400.0;37400.0;14.0;7.1;2120.0;85.0;22.0;56.0;1620.0;2620.0
2017;Sorbonne Université;Paris;Masters enseignement;Masters enseignement;18 mois après le diplôme;;128.0;53.0;100.0;100.0;;;96.0;92.0;96.0;1800.0;28100.0;16.0;7.1;2120.0;94.0;6.0;86.0;1620.0;2620.0
2017;Sorbonne Université;Paris;Sciences, technologies et santé;Sciences de la vie et de la terre;18 mois après le diplôme;;155.0;63.0;22.0;90.0;;;92.0;53.0;97.0;1950.0;30400.0;26.0;7.1;2120.0;73.0;32.0;74.0;1620.0;2620.0
2017;Sorbonne Université;Paris;Sciences, technologies et santé;Informatique;30 mois après le diplôme;;78.0;64.0;11.0;97.0;;;99.0;95.0;100.0;2740.0;42700.0;26.0;7.1;2120.0;97.0;15.0;9.0;1620.0;2620.0
2017;Poitiers;Poitiers;Sciences, technologies et santé;Sciences de la vie et de la terre;30 mois après le diplôme;;61.0;70.0;10.0;89.0;;;94.0;78.0;98.0;2200.0;34300.0;36.0;7.4;1760.0;75.0;83.0;42.0;1370.0;2100.0
2018;Rennes 1;Rennes;Sciences, technologies et santé;Sciences de la vie et de la terre;30 mois après le diplôme;;100.0;88.0;15.0;85.0;;;93.0;67.0;95.0;1900.0;29600.0;32.0;6.5;1790.0;64.0;65.0;54.0;1430.0;2150.0
2018;Rennes 1;Rennes;Sciences, technologies et santé;Sciences fondamentales;18 mois après le diplôme;;38.0;75.0;6.0;89.0;;;100.0;71.0;100.0;2100.0;32800.0;32.0;6.5;1790.0;88.0;75.0;44.0;1430.0;2150.0
2018;Saint-Etienne - Jean Monnet;Lyon;Droit, économie et gestion;Ensemble formations juridiques, économiques et de gestion;18 mois après le diplôme;;146.0;77.0;46.0;92.0;;;90.0;71.0;97.0;1950.0;30400.0;26.0;7.0;1890.0;52.0;23.0;57.0;1480.0;2270.0
2018;Saint-Etienne - Jean Monnet;Lyon;Droit, économie et gestion;Droit;18 mois après le diplôme;;30.0;74.0;12.0;93.0;;;88.0;71.0;97.0;1920.0;29900.0;26.0;7.0;1890.0;57.0;45.0;80.0;1480.0;2270.0
2018;Saint-Etienne - Jean Monnet;Lyon;Lettres, langues, arts;Lettres, langues, arts;18 mois après le diplôme;;45.0;75.0;17.0;85.0;;;82.0;50.0;73.0;1635.0;25600.0;26.0;7.0;1890.0;35.0;51.0;66.0;1480.0;2270.0
2018;Angers;Nantes;Sciences humaines et sociales;Psychologie;18 mois après le diplôme;;62.0;93.0;5.0;91.0;;;95.0;48.0;60.0;1650.0;25700.0;41.0;6.7;1830.0;87.0;59.0;93.0;1470.0;2180.0
2018;Lorraine;Nancy-Metz;Droit, économie et gestion;Ensemble formations juridiques, économiques et de gestion;30 mois après le diplôme;;529.0;72.0;46.0;94.0;;;93.0;83.0;97.0;2380.0;37200.0;41.0;7.7;1840.0;68.0;58.0;54.0;1450.0;2180.0
2018;Lorraine;Nancy-Metz;Droit, économie et gestion;Autres formations juridiques, économiques et de gestion;18 mois après le diplôme;;137.0;72.0;12.0;95.0;;;92.0;86.0;99.0;2390.0;37300.0;41.0;7.7;1840.0;52.0;59.0;47.0;1450.0;2180.0
2018;Bretagne-Sud;Rennes;Sciences humaines et sociales;Ensemble sciences humaines et sociales;18 mois après le diplôme;;41.0;88.0;14.0;90.0;;;73.0;41.0;94.0;1580.0;24700.0;32.0;6.5;1790.0;55.0;46.0;77.0;1430.0;2150.0
2018;Lille;Lille;Sciences, technologies et santé;Sciences de la vie et de la terre;30 mois après le diplôme;;131.0;87.0;7.0;92.0;;;97.0;72.0;98.0;2080.0;32500.0;32.0;9.4;1860.0;64.0;43.0;66.0;1470.0;2210.0
2018;Clermont Auvergne;Clermont-Ferrand;Sciences, technologies et santé;Ensemble sciences, technologies et santé;30 mois après le diplôme;;213.0;84.0;32.0;92.0;;;93.0;82.0;98.0;2030.0;31600.0;44.0;7.0;1890.0;68.0;54.0;45.0;1480.0;2270.0
2018;Strasbourg;Strasbourg;Sciences, technologies et santé;Autres sciences, technologies et santé;18 mois après le diplôme;;59.0;86.0;5.0;93.0;;;88.0;68.0;94.0;1855.0;29100.0;29.0;7.7;1840.0;55.0;51.0;50.0;1450.0;2180.0
2018;Rouen;Normandie;Droit, économie et gestion;Économie;30 mois après le diplôme;;39.0;80.0;9.0;92.0;;;75.0;83.0;100.0;2070.0;32350.0;34.0;7.7;1860.0;47.0;42.0;69.0;1480.0;2220.0
2018;Toulon;Nice;Sciences humaines et sociales;Ensemble sciences humaines et sociales;30 mois après le diplôme;;65.0;96.0;30.0;82.0;;;89.0;91.0;96.0;1880.0;29400.0;42.0;9.0;1860.0;70.0;32.0;50.0;1410.0;2240.0
2018;Toulon;Nice;Sciences humaines et sociales;Ensemble sciences humaines et sociales;18 mois après le diplôme;;65.0;96.0;30.0;83.0;;;91.0;90.0;92.0;1640.0;25500.0;42.0;9.0;1860.0;58.0;32.0;50.0;1410.0;2240.0
2018;Avignon;Aix-Marseille;Sciences, technologies et santé;Ensemble sciences, technologies et santé;30 mois après le diplôme;;57.0;71.0;46.0;95.0;;;96.0;95.0;96.0;2200.0;34300.0;35.0;9.0;1860.0;71.0;27.0;27.0;1410.0;2240.0
